case_id,email,category,risk_if_deliverable,rationale
live-001,task1.audit@gmail.com,neutral_public_domain,none,Tarafsız yerel bölüm; bağımsız referans syntax ve canlı DNS sonucunu belirler.
live-002,quality.check@gmail.com,neutral_public_domain,none,Tarafsız yerel bölüm; bağımsız referans syntax ve canlı DNS sonucunu belirler.
live-003,sample+tag@gmail.com,neutral_public_domain,none,Tarafsız yerel bölüm; bağımsız referans syntax ve canlı DNS sonucunu belirler.
live-004,mail.validation@gmail.com,neutral_public_domain,none,Tarafsız yerel bölüm; bağımsız referans syntax ve canlı DNS sonucunu belirler.
live-005,task1.audit@outlook.com,neutral_public_domain,none,Tarafsız yerel bölüm; bağımsız referans syntax ve canlı DNS sonucunu belirler.
live-006,quality.check@outlook.com,neutral_public_domain,none,Tarafsız yerel bölüm; bağımsız referans syntax ve canlı DNS sonucunu belirler.
live-007,sample+tag@outlook.com,neutral_public_domain,none,Tarafsız yerel bölüm; bağımsız referans syntax ve canlı DNS sonucunu belirler.
live-008,mail.validation@outlook.com,neutral_public_domain,none,Tarafsız yerel bölüm; bağımsız referans syntax ve canlı DNS sonucunu belirler.
live-009,task1.audit@yahoo.com,neutral_public_domain,none,Tarafsız yerel bölüm; bağımsız referans syntax ve canlı DNS sonucunu belirler.
live-010,quality.check@yahoo.com,neutral_public_domain,none,Tarafsız yerel bölüm; bağımsız referans syntax ve canlı DNS sonucunu belirler.
live-011,sample+tag@yahoo.com,neutral_public_domain,none,Tarafsız yerel bölüm; bağımsız referans syntax ve canlı DNS sonucunu belirler.
live-012,mail.validation@yahoo.com,neutral_public_domain,none,Tarafsız yerel bölüm; bağımsız referans syntax ve canlı DNS sonucunu belirler.
live-013,task1.audit@proton.me,neutral_public_domain,none,Tarafsız yerel bölüm; bağımsız referans syntax ve canlı DNS sonucunu belirler.
live-014,quality.check@proton.me,neutral_public_domain,none,Tarafsız yerel bölüm; bağımsız referans syntax ve canlı DNS sonucunu belirler.
live-015,sample+tag@proton.me,neutral_public_domain,none,Tarafsız yerel bölüm; bağımsız referans syntax ve canlı DNS sonucunu belirler.
live-016,mail.validation@proton.me,neutral_public_domain,none,Tarafsız yerel bölüm; bağımsız referans syntax ve canlı DNS sonucunu belirler.
live-017,task1.audit@protonmail.com,neutral_public_domain,none,Tarafsız yerel bölüm; bağımsız referans syntax ve canlı DNS sonucunu belirler.
live-018,quality.check@protonmail.com,neutral_public_domain,none,Tarafsız yerel bölüm; bağımsız referans syntax ve canlı DNS sonucunu belirler.
live-019,sample+tag@protonmail.com,neutral_public_domain,none,Tarafsız yerel bölüm; bağımsız referans syntax ve canlı DNS sonucunu belirler.
live-020,mail.validation@protonmail.com,neutral_public_domain,none,Tarafsız yerel bölüm; bağımsız referans syntax ve canlı DNS sonucunu belirler.
live-021,task1.audit@fastmail.com,neutral_public_domain,none,Tarafsız yerel bölüm; bağımsız referans syntax ve canlı DNS sonucunu belirler.
live-022,quality.check@fastmail.com,neutral_public_domain,none,Tarafsız yerel bölüm; bağımsız referans syntax ve canlı DNS sonucunu belirler.
live-023,sample+tag@fastmail.com,neutral_public_domain,none,Tarafsız yerel bölüm; bağımsız referans syntax ve canlı DNS sonucunu belirler.
live-024,mail.validation@fastmail.com,neutral_public_domain,none,Tarafsız yerel bölüm; bağımsız referans syntax ve canlı DNS sonucunu belirler.
live-025,task1.audit@icloud.com,neutral_public_domain,none,Tarafsız yerel bölüm; bağımsız referans syntax ve canlı DNS sonucunu belirler.
live-026,quality.check@icloud.com,neutral_public_domain,none,Tarafsız yerel bölüm; bağımsız referans syntax ve canlı DNS sonucunu belirler.
live-027,sample+tag@icloud.com,neutral_public_domain,none,Tarafsız yerel bölüm; bağımsız referans syntax ve canlı DNS sonucunu belirler.
live-028,mail.validation@icloud.com,neutral_public_domain,none,Tarafsız yerel bölüm; bağımsız referans syntax ve canlı DNS sonucunu belirler.
live-029,task1.audit@zoho.com,neutral_public_domain,none,Tarafsız yerel bölüm; bağımsız referans syntax ve canlı DNS sonucunu belirler.
live-030,quality.check@zoho.com,neutral_public_domain,none,Tarafsız yerel bölüm; bağımsız referans syntax ve canlı DNS sonucunu belirler.
live-031,sample+tag@zoho.com,neutral_public_domain,none,Tarafsız yerel bölüm; bağımsız referans syntax ve canlı DNS sonucunu belirler.
live-032,mail.validation@zoho.com,neutral_public_domain,none,Tarafsız yerel bölüm; bağımsız referans syntax ve canlı DNS sonucunu belirler.
live-033,task1.audit@gmx.com,neutral_public_domain,none,Tarafsız yerel bölüm; bağımsız referans syntax ve canlı DNS sonucunu belirler.
